t,OP,PV
0,65,53.992
0.1,65,53.992
0.2,65,53.992
0.3,65,53.992
0.4,65,53.992
0.5,65,53.992
0.6,65,53.992
0.7,65,53.992
0.8,65,53.992
0.9,65,53.992
1,65,53.992
1.1,65,53.992
1.2,65,53.992
1.3,65,53.992
1.4,65,53.992
1.5,65,53.992
1.6,65,53.992
1.7,65,53.992
1.8,65,53.992
1.9,65,53.992
2,80,53.992
2.1,80,53.992
2.2,80,53.991
2.3,80,53.991
2.4,80,53.991
2.5,80,53.991
2.6,80,53.992
2.7,80,53.995
2.8,80,54.005
2.9,80,54.027
3,80,54.061
3.1,80,54.108
3.2,80,54.167
3.3,80,54.238
3.4,80,54.32
3.5,80,54.41
3.6,80,54.508
3.7,80,54.61
3.8,80,54.717
3.9,80,54.829
4,80,54.944
4.1,80,55.059
4.2,80,55.175
4.3,80,55.29
4.4,80,55.406
4.5,80,55.522
4.6,80,55.635
4.7,80,55.747
4.8,80,55.856
4.9,80,55.965
5,80,56.071
5.1,80,56.174
5.2,80,56.274
5.3,80,56.371
5.4,80,56.467
5.5,80,56.559
5.6,80,56.649
5.7,80,56.736
5.8,80,56.819
5.9,80,56.901
6,80,56.98
6.1,80,57.056
6.2,80,57.129
6.3,80,57.199
6.4,80,57.267
6.5,80,57.333
6.6,80,57.396
6.7,80,57.457
6.8,80,57.515
6.9,80,57.572
7,80,57.627
7.1,80,57.679
7.2,80,57.729
7.3,80,57.777
7.4,80,57.823
7.5,80,57.868
7.6,80,57.911
7.7,80,57.952
7.8,80,57.991
7.9,80,58.029
8,80,58.065
8.1,80,58.1
8.2,80,58.134
8.3,80,58.166
8.4,80,58.196
8.5,80,58.226
8.6,80,58.254
8.7,80,58.282
8.8,80,58.307
8.9,80,58.333
9,80,58.357
9.1,80,58.379
9.2,80,58.401
9.3,80,58.422
9.4,80,58.443
9.5,80,58.462
9.6,80,58.481
9.7,80,58.498
9.8,80,58.515
9.9,80,58.532
10,80,58.547
10.1,80,58.562
10.2,80,58.577
10.3,80,58.59
10.4,80,58.604
10.5,80,58.616
10.6,80,58.628
10.7,80,58.64
10.8,80,58.651
10.9,80,58.662
11,80,58.672
11.1,80,58.682
11.2,80,58.691
11.3,80,58.7
11.4,80,58.709
11.5,80,58.717
11.6,80,58.725
11.7,80,58.732
11.8,80,58.739
11.9,80,58.746
12,80,58.753
12.1,80,58.759
12.2,80,58.765
12.3,80,58.771
12.4,80,58.777
12.5,80,58.782
12.6,80,58.787
12.7,80,58.792
12.8,80,58.796
12.9,80,58.801
13,80,58.805
13.1,80,58.809
13.2,80,58.813
13.3,80,58.817
13.4,80,58.821
13.5,80,58.824
13.6,80,58.827
13.7,80,58.83
13.8,80,58.833
13.9,80,58.836
14,80,58.839
14.1,80,58.842
14.2,80,58.844
14.3,80,58.847
14.4,80,58.849
14.5,80,58.851
14.6,80,58.853
14.7,80,58.855
14.8,80,58.857
14.9,80,58.859
15,80,58.861
15.1,80,58.863
15.2,80,58.864
15.3,80,58.866
15.4,80,58.867
15.5,80,58.869
15.6,80,58.87
15.7,80,58.871
15.8,80,58.873
15.9,80,58.874
16,80,58.875
16.1,80,58.876
16.2,80,58.877
16.3,80,58.878
16.4,80,58.879
16.5,80,58.88
16.6,80,58.881
16.7,80,58.882
16.8,80,58.883
16.9,80,58.883